date,campaign_id,impressions,clicks,spend,conversions,revenue
2014-10-21,cmp_1000,4,1,0.17,0,0.0
2014-10-21,cmp_1315,14,1,0.24,0,0.0
2014-10-21,cmp_1652,97,11,2.27,1,29.59
2014-10-21,cmp_2141,201,52,10.79,3,78.07
2014-10-21,cmp_2230,3814,646,139.32,18,497.04
2014-10-21,cmp_992,3,0,0.0,0,0.0
2014-10-22,cmp_1000,1,0,0.0,0,0.0
2014-10-22,cmp_1315,4,1,0.17,0,0.0
2014-10-22,cmp_1652,99,2,0.51,0,0.0
2014-10-22,cmp_2141,223,59,12.37,3,105.52
2014-10-22,cmp_2230,5016,763,162.71,27,740.91
2014-10-22,cmp_992,8,1,0.35,0,0.0
2014-10-23,cmp_1000,1,0,0.0,0,0.0
2014-10-23,cmp_1652,67,7,1.32,0,0.0
2014-10-23,cmp_2141,237,54,11.13,3,70.88
2014-10-23,cmp_2230,3523,658,139.68,25,917.62
2014-10-23,cmp_2640,3,0,0.01,0,0.0
2014-10-23,cmp_992,2,0,0.0,0,0.0
2014-10-24,cmp_1315,2,0,0.01,0,0.0
2014-10-24,cmp_1652,79,11,2.58,0,0.0
2014-10-24,cmp_2141,126,26,4.99,1,53.73
2014-10-24,cmp_2230,3114,542,114.22,26,675.96
2014-10-24,cmp_2640,1,0,0.0,0,0.0
2014-10-24,cmp_992,4,0,0.01,0,0.0
2014-10-25,cmp_1000,1,0,0.0,0,0.0
2014-10-25,cmp_1315,7,2,0.43,0,0.0
2014-10-25,cmp_1652,92,5,1.11,0,0.0
2014-10-25,cmp_2141,167,32,6.8,2,37.36
2014-10-25,cmp_2230,3079,564,117.41,15,183.47
2014-10-25,cmp_2640,1,0,0.0,0,0.0
2014-10-25,cmp_992,10,0,0.02,0,0.0
